10000001	male
10000002	male
10000003	male
10000004	male
10000005	male
10000006	male
10000007	male
10000008	male
10000009	male
10000010	male
10000011	male
10000012	male
10000013	male
10000014	male
10000015	male
10000016	male
10000017	male
10000018	male
10000019	male
10000020	male
10000021	male
10000022	male
10000023	male
10000024	male
10000025	male
10000026	male
10000027	male
10000028	male
10000029	male
10000030	male
10000031	male
10000032	male
10000033	male
10000034	male
10000035	male
10000036	male
10000037	male
10000038	male
10000039	male
10000040	male
10000041	male
10000042	male
10000043	male
10000044	male
10000045	male
10000046	male
10000047	female
10000048	male
10000049	male
10000050	male
10000051	male
10000052	male
10000053	male
10000054	male
10000055	male
10000056	male
10000057	male
10000058	male
10000059	male
10000060	male
10000061	male
10000062	male
10000063	male
10000064	female
10000065	male
10000066	male
10000067	male
10000068	male
10000069	male
10000070	male
10000071	male
10000072	male
10000073	male
10000074	male
10000075	male
10000076	male
10000077	male
10000078	male
10000079	male
10000080	male
10000081	male
10000082	male
10000083	male
10000084	male
10000085	male
10000086	male
10000087	male
10000088	male
10000089	male
10000090	male
10000091	male
10000092	male
10000093	male
10000094	male
10000095	male
10000096	male
10000097	male
10000098	male
10000099	male
10000100	male
10000101	male
10000102	male
10000103	male
10000104	male
10000105	male
10000106	male
10000107	male
10000108	male
10000109	female
10000110	male
10000111	male
10000112	male
10000113	male
10000114	male
10000115	male
10000116	male
10000117	male
10000118	female
10000119	male
10000120	male
10000121	male
10000122	male
10000123	male
10000124	female
10000125	male
10000126	male
10000127	male
10000128	male
10000129	male
10000130	male
10000131	female
10000132	female
10000133	male
10000134	male
10000135	male
10000136	male
10000137	male
10000138	male
10000139	male
10000140	male
10000141	male
10000142	male
10000143	male
10000144	male
10000145	male
10000146	male
10000147	male
10000148	male
10000149	male
10000150	male
10000151	male
10000152	male
10000153	male
10000154	male
10000155	male
10000156	male
10000157	male
10000158	male
10000159	male
10000160	male
10000161	male
10000162	male
10000163	male
10000164	male
10000165	male
10000166	male
10000167	male
10000168	male
10000169	male
10000170	male
10000171	male
10000172	male
10000173	male
10000174	male
10000175	male
10000176	male
10000177	male
10000178	male
10000179	male
10000180	male
10000181	male
10000182	male
10000183	male
10000184	male
10000185	male
10000186	male
10000187	male
10000188	male
10000189	male
10000190	male
10000191	male
10000192	female
10000193	male
10000194	male
10000195	male
10000196	male
10000197	male
10000198	male
10000199	male
10000200	male
10000201	male
10000202	male
10000203	male
10000204	male
10000205	male
10000206	male
10000207	male
10000208	male
10000209	male
10000210	male
10000211	male
10000212	male
10000213	male
10000214	male
10000215	male
10000216	male
10000217	male
10000218	male
10000219	female
10000220	male
10000221	male
10000222	male
10000223	male
10000224	male
10000225	male
10000226	male
10000227	male
10000228	male
10000229	male
10000230	male
10000231	male
10000232	male
10000233	male
10000234	male
10000235	male
10000236	male
10000237	male
10000238	male
10000239	male
10000240	male
10000241	male
10000242	male
10000243	male
10000244	male
10000245	male
10000246	male
10000247	male
10000248	male
10000249	male
10000250	male
10000251	male
10000252	male
10000253	male
10000254	male
10000255	male
10000256	male
10000257	male
10000258	male
10000259	male
10000260	male
10000261	male
10000262	male
10000263	male
10000264	male
10000265	male
10000266	male
10000267	male
10000268	male
10000269	female
10000270	male
10000271	male
10000272	male
10000273	male
10000274	male
10000275	male
10000276	male
10000277	male
10000278	male
10000279	female
10000280	male
10000281	male
10000282	male
10000283	male
10000284	male
10000285	male
10000286	male
10000287	male
10000288	male
10000289	male
10000290	male
10000291	female
10000292	male
10000293	male
10000294	male
10000295	male
10000296	male
10000297	male
10000298	male
10000299	male
10000300	male
10000301	male
10000302	male
10000303	male
10000304	male
10000305	male
10000306	female
10000307	female
10000308	male
10000309	male
10000310	male
10000311	male
10000312	male
10000313	male
10000314	male
10000315	male
10000316	male
10000317	female
10000318	male
10000319	male
10000320	male
10000321	male
10000322	male
10000323	male
10000324	male
10000325	male
10000326	male
10000327	male
10000328	male
10000329	male
10000330	male
10000331	male
10000332	male
10000333	male
10000334	male
10000335	male
10000336	male
10000337	male
10000338	male
10000339	male
10000340	male
10000341	male
10000342	male
10000343	male
10000344	male
10000345	male
10000346	male
10000347	male
10000348	male
10000349	female
10000350	male
10000351	male
10000352	male
10000353	male
10000354	male
10000355	female
10000356	male
10000357	male
10000358	male
10000359	male
10000360	male
10000361	male
10000362	male
10000363	male
10000364	male
10000365	female
10000366	male
10000367	male
10000368	male
10000369	female
10000370	male
10000371	male
10000372	male
10000373	male
10000374	female
10000375	male
10000376	male
10000377	male
10000378	female
10000379	male
10000380	male
10000381	male
10000382	male
10000383	male
10000384	male
10000385	male
10000386	male
10000387	male
10000388	male
10000389	male
10000390	male
10000391	male
10000392	male
10000393	male
10000394	male
10000395	male
10000396	male
10000397	male
10000398	male
10000399	female
10000400	male
10000401	male
10000402	male
10000403	male
10000404	male
10000405	male
10000406	female
10000407	male
10000408	male
10000409	male
10000410	male
10000411	male
10000412	male
10000413	male
10000414	male
10000415	male
10000416	male
10000417	male
10000418	male
10000419	male
10000420	male
10000421	female
10000422	male
10000423	male
10000424	male
10000425	male
10000426	male
10000427	male
10000428	male
10000429	male
10000430	female
10000431	male
10000432	male
10000433	male
10000434	male
10000435	male
10000436	male
10000437	male
10000438	male
10000439	female
10000440	male
10000441	male
10000442	male
10000443	male
10000444	male
10000445	male
10000446	male
10000447	male
10000448	male
10000449	male
10000450	male
10000451	male
10000452	male
10000453	male
10000454	male
10000455	male
10000456	male
10000457	male
10000458	male
10000459	male
10000460	male
10000461	female
10000462	male
10000463	male
10000464	male
10000465	male
10000466	male
10000467	male
10000468	male
10000469	male
10000470	female
10000471	male
10000472	male
10000473	male
10000474	male
10000475	male
10000476	female
10000477	male
10000478	male
10000479	male
10000480	male
10000481	male
10000482	male
10000483	male
10000484	male
10000485	male
10000486	male
10000487	male
10000488	male
10000489	male
10000490	male
10000491	male
10000492	male
10000493	male
10000494	male
10000495	male
10000496	male
10000497	male
10000498	male
10000499	male
10000500	male
10000501	male
10000502	male
10000503	male
10000504	male
10000505	male
10000506	male
10000507	male
10000508	male
10000509	male
10000510	male
10000511	male
10000512	male
10000513	male
10000514	male
10000515	male
10000516	female
10000517	male
