60	10010912
60	10006483
60	10008309
60	10006423
60	10003058
60	10003267
60	10010071
63	10002166
63	10012460
63	10012460
63	10002919
63	10006445
63	10003846
63	10004717
63	10005473
63	10010979
63	10008519
63	10002407
65	10001623
65	10012933
65	10013139
65	10006217
65	10013184
65	10009549
65	10012261
65	10005841
65	10011327
65	10008386
65	10011294
65	10008812
65	10011177
65	10004425
67	10007980
67	10011137
67	10000147
67	10010938
67	10010512
67	10002318
67	10003677
67	10008612
67	10003389
67	10008272
67	10012634
68	10010937
68	10001775
68	10001776
68	10009671
68	10005786
68	10002920
68	10006821
68	10010366
68	10005060
68	10010938
69	10005363
69	10004724
69	10012994
69	10011293
69	10009330
69	10010439
69	10003919
69	10009834
69	10005028
69	10003555
69	10000495
69	10010684
69	10010388
69	10011712
69	10011212
69	10000473
69	10002243
69	10002756
69	10012309
69	10012709
69	10013163
69	10005843
69	10007944
69	10010258
69	10004222
69	10002229
69	10004223
69	10005039
69	10002757
69	10012309
69	10009835
69	10003267
69	10003014
69	10011273
69	10011272
