10000027	NA	NA	Sir	Edward	Abney			Edward Abney	Edward Abney									NA	IN	1631	NA	IN	1728	NA	NA	NA	NA	NA	NA	1655	1731	5
10000028	NA	52	Sir	Thomas	Abney			Thomas Abney	Thomas Abney									Abney, Sir Thomas	IN	1639	1640	IN	1722	1722	1639/40-1722	merchant and mayor of London	1110	1640	1716	NA	NA	NA
10000029	NA	53	Sir	Thomas	Abney			Thomas Abney	Thomas Abney									Abney, Sir Thomas	IN	1690	1691	IN	1750	1750	1690/91-1750	judge	693	1690	1792	NA	NA	NA
10000030	NA	74110		Josephus	Abudacnus			Josephus Abudacnus	Josephus Abudacnus									Abudacnus, Josephus	IN	1595	1595	IN	1643	1643	fl. 1595-1643	scholar of oriental languages	906	1595	1740	NA	NA	NA
10000031	NA	57		Roger	Acherley			Roger Acherley	Roger Acherley									Acherley, Roger	CA	1662	1662	IN	1740	1740	bap. 1662?, d. 1740	political writer and lawyer	1037	1662	1740	NA	NA	NA
10000032	NA	63	Sir	John	Acland			John Acland	John Acland									Acland, Sir John	IN	1552	1552	IN	1620	1620	c.1552-1620	politician and benefactor	682	1553	1617	NA	NA	NA
10000033	NA	64		John	Acland			John Acland	John Acland									Acland, John	IN	1699	1699	IN	1796	1796	1699-1796	Church of England clergyman and writer on social issues	575	1703	1797	NA	NA	NA
10000034	NA	69		Jacopo	Aconcio			Jacopo Aconcio	Jacopo Aconcio									Aconcio, Jacopo	CA	1520	1520	IN	1566	1567	c.1520-1566/7?	theologian and military engineer	1363	1548	1580	NA	NA	NA
10000035	NA	72		Edward	Acton			Edward Acton	Edward Acton									Acton, Edward	AF	1597	NA	IN	1707	1707	d. 1707	naval officer	644	1691	1707	NA	NA	NA
10000036	NA	93735	Sir	Robert	Acton			Robert Acton	Robert Acton									Acton, Sir Robert	BF	1497	1497	IN	1558	1558	b. before 1497, d. 1558	saddler and member of parliament	1262	1518	1558	NA	NA	NA
10000037	NA	78		George	Acworth			George Acworth	George Acworth									Acworth, George	IN	1534	1534	IN	1581	1586	1534-1581x6	administrator and scholar	649	1529	1569	NA	NA	NA
10000038	NA	64846	Sir	Jacob	Acworth			Jacob Acworth	Jacob Acworth									Acworth, Sir Jacob	IN	1668	1668	IN	1749	1749	c.1668-1749	shipbuilder	863	1637	1746	NA	NA	NA
10000039	NA	67209		Archibald	Adair			Archibald Adair	Archibald Adair									Adair, Archibald	AF	1537	NA	IN	1647	1647	d. 1647	Church of Ireland bishop of Waterford and Lismore	741	1585	1647	NA	NA	NA
10000040	NA	82		John	Adair			John Adair	John Adair									Adair, John	IN	1660	1660	IN	1718	1718	1660-1718	geographer and cartographer	1382	1654	1836	NA	NA	NA
10000041	NA	83		Patrick	Adair			Patrick Adair	Patrick Adair									Adair, Patrick	CA	1624	1624	IN	1693	1694	1624?-1693/4	Presbyterian minister and historian	1031	1624	1884	NA	NA	NA
10000042	NA	107		William	Adam			William Adam	William Adam									Adam, William	IN	1689	1689	IN	1748	1748	bap. 1689, d. 1748	builder and architect	1405	1689	1811	NA	NA	NA
10000043	NA	112		Clement	Adams			Clement Adams	Clement Adams									Adams, Clement	IN	1519	1519	IN	1587	1587	c.1519-1587	schoolmaster and map engraver	570	1530	1595	NA	NA	NA
10000044	NA	115		George	Adams			George Adams	George Adams									Adams, George	IN	1697	1698	BF	1807	NA	b. 1697/8	translator and writer	634	1716	1768	NA	NA	NA
10000045	NA	120		John	Adams			John Adams	John Adams									Adams, John	IN	1662	1662	IN	1720	1720	1662-1720	college head	304	1680	1755	NA	NA	NA
10000046	NA	119		John	Adams			John Adams	John Adams									Adams, John	BF	1670	1670	IN	1738	1738	b. before 1670, d. 1738	cartographer	411	1670	1738	NA	NA	NA
10000047	NA	40441		Mary	Adams			Mary Adams	Mary Adams									Adams, Mary	BF	1652	1652	AF	1652	1652	supp. fl. 1652	self-proclaimed virgin mother	666	1652	1652	NA	NA	NA
10000048	NA	125		Richard	Adams			Richard Adams	Richard Adams									Adams, Richard	IN	1620	1620	IN	1661	1661	bap. 1620, d. 1661	poet	330	1586	1668	NA	NA	NA
10000049	NA	126		Richard	Adams			Richard Adams	Richard Adams									Adams, Richard	IN	1626	1627	IN	1698	1698	1626/7-1698	clergyman and ejected minister	551	1540	1678	NA	NA	NA
10000050	NA	127		Robert	Adams			Robert Adams	Robert Adams									Adams, Robert	AF	1485	NA	IN	1595	1595	d. 1595	architect	434	1581	1595	NA	NA	NA
10000051	NA	64283		Roger	Adams			Roger Adams	Roger Adams									Adams, Roger	CA	1681	1681	IN	1741	1741	1681?-1741	printer and publisher	800	1681	1757	NA	NA	NA
10000052	NA	NA		Sylvester	Adams			Sylvester Adams	Sylvester Adams									NA	BF	1620	NA	AF	1638	NA	NA	NA	NA	NA	NA	1634	1640	5
10000053	NA	130		Thomas	Adams			Thomas Adams	Thomas Adams									Adams, Thomas	BF/IN	1566	1566	IN	1620	1620	b. in or before 1566, d. 1620	printer	208	1566	1620	NA	NA	NA
10000054	NA	131		Thomas	Adams			Thomas Adams	Thomas Adams									Adams, Thomas	IN	1583	1583	IN	1652	1652	1583-1652	Church of England clergyman	776	1598	1633	NA	NA	NA
10000055	NA	132	Sir	Thomas	Adams			Thomas Adams	Thomas Adams									Adams, Sir Thomas	IN	1586	1586	IN	1668	1668	bap. 1586, d. 1668	local politician	1015	1559	1668	NA	NA	NA
10000056	NA	133		Thomas	Adams			Thomas Adams	Thomas Adams									Adams, Thomas	IN	1631	1632	IN	1670	1670	1631/2-1670	ejected minister and writer on Christian doctrine	299	1649	1655	NA	NA	NA
10000057	NA	135		William	Adams			William Adams	William Adams									Adams, William	IN	1564	1564	IN	1620	1620	1564-1620	navigator	3175	1549	1885	NA	NA	NA
10000058	NA	142		Henry	Adamson			Henry Adamson	Henry Adamson									Adamson, Henry	IN	1581	1581	IN	1637	1637	bap. 1581, d. 1637	poet and historian	407	1581	1638	NA	NA	NA
10000059	NA	143		John	Adamson			John Adamson	John Adamson									Adamson, John	IN	1576	1576	CA	1651	1651	1576-1651?	university principal and writer	524	1597	1651	NA	NA	NA
10000060	NA	145		Patrick	Adamson			Patrick Adamson, Patrick Constantine	Patrick Adamson	Patrick Constantine								Adamson [Constantine], Patrick	IN	1537	1537	IN	1592	1592	1537-1592	archbishop of St Andrews	3246	1537	1620	NA	NA	NA
10000061	NA	146		Thomas	Adamson			Thomas Adamson	Thomas Adamson									Adamson, Thomas	BF	1680	1680	AF	1680	1680	fl. 1680	military writer	255	1588	1680	NA	NA	NA
10000062	NA	148		John	Addenbrooke			John Addenbrooke	John Addenbrooke									Addenbrooke, John	IN	1681	1681	IN	1719	1719	bap. 1681, d. 1719	physician and benefactor	640	1681	1766	NA	NA	NA
10000063	NA	56705		Humphrey	Adderley			Humphrey Adderley	Humphrey Adderley									Adderley, Humphrey	IN	1512	1512	IN	1598	1598	1512-1598	courtier	527	1530	1594	NA	NA	NA
10000064	NA	55434		Charlotte	Addison			Charlotte Addison	Charlotte Addison									Charlotte Addison	IN	1680	1680	IN	1731	1731	bap. 1680, d. 1731		150	1680	1731	NA	NA	NA
10000065	TRUE	NA		Joseph	Addison			Joseph Addison	Joseph Addison									NA	IN	1672	NA	IN	1719	NA	NA	writer and politician	NA	NA	NA	1593	1895	93
10000066	NA	157		Lancelot	Addison			Lancelot Addison	Lancelot Addison									Addison, Lancelot	IN	1632	1632	IN	1703	1703	1632-1703	dean of Lichfield	2256	1500	1724	NA	NA	NA
10000067	NA	160		William	Addy			William Addy	William Addy									Addy, William	CA	1618	1618	CA	1695	1695	bap. 1618?, d. 1695?	stenographer and writing-master	246	1618	1725	NA	NA	NA
