id,display_name,first_name,last_name,created_by,historical_significance,prefix,suffix,title,birth_year_type,birth_year,death_year_type,death_year,gender,approved_by,approved_on,odnb_id,created_at,updated_at,search_names_all,citation,aliases
10003982,Desiderius Erasmus,Desiderius,Erasmus,2,humanist scholar and reformer,,,,IN,1467,IN,1536,male,2,2017-02-21 20:03:39.952156,39358,2015-02-25 00:40:40.160173,2017-02-21 20:03:39.951985,"Desiderius Erasmus, Desiderius, Desiderius Erasmus",,
10054870,Sir Thomas Wyatt,Thomas,Wyatt,5,poet and ambassador,Sir,,,IN,1503,IN,1542,male,5,2017-02-21 20:25:52.722923,30111,2017-02-21 20:19:48.453920,2017-02-21 20:25:52.722613,"Sir Thomas, Sir Thomas Wyatt, Sir Wyatt, Thomas, Thomas Wyatt",,
10012119,King Henry VIII,Henry,Tudor,2,king of England and Ireland,King,VIII,,IN,1491,IN,1547,male,4,2017-02-21 20:25:53.065617,12955,2015-02-25 00:43:00.423062,2017-02-21 20:25:53.062383,"King Henry, Henry VIII, King Henry, King Henry Tudor, King Henry Tudor VIII, King Henry VIII, King Tudor, King Tudor VIII, Henry, Henry Tudor, Henry Tudor VIII, Henry VIII",,
10054871,Augustine Washington,Augustine,Washington,4,"American planter, father of revolutionary army officer and first president of the United States, George Washington",,,,IN,1694,IN,1743,male,4,2017-02-27 00:37:16,,2017-02-27 00:38:22.914927,2017-02-27 00:38:22.914927,"Augustine, Augustine Washington",,
10054872,Christian IV,Christian,,4,King of Denmark-Norway,,,,IN,1577,IN,1648,male,4,2017-02-27 01:19:11.639467,,2017-02-27 01:18:14.975680,2017-02-27 01:19:11.639070,Christian,,
10002902,Gertrude Courtenay,Gertrude,Courtenay,2,noblewoman and courtier,,,,AF,1448,IN,1558,female,4,2017-02-27 23:27:08.857162,6450,2015-02-25 00:40:23.343119,2017-02-27 23:27:08.687851,"Gertrude Courtenay, Gertrude Blount, Gertrude, Gertrude Courtenay",,
10001194,William Blount,William,Blount,2,courtier and literary patron,,,,IN,1478,IN,1534,male,2,2017-02-27 23:30:30.676137,2702,2015-02-25 00:39:52.850573,2017-02-27 23:30:30.432862,"William Blount, William, William Blount",,
10004692,Henry Garnett,Henry,Garnett,2,Jesuit,,,,IN,1555,IN,1606,male,2,2017-04-06 22:18:33.323969,10389,2015-02-25 00:40:50.748042,2017-04-06 22:18:33.323839,"Henry Garnett, Henry, Henry Garnett",,
10007298,Francis Leigh,Francis,Leigh,2,politician and courtier,,,Earl of Chichester,AF,1543,IN,1653,male,4,2017-02-28 19:39:30.350136,16382,2015-02-25 00:41:37.016658,2017-02-28 19:39:30.348071,"Francis Leigh, Francis, Francis Leigh Earl of Chichester, Earl of Chichester",,
10054874,Audrey Boteler Baroness of Chichester,Audrey,Boteler,4,,,,Baroness of Chichester,BF,1600,IN,1652,female,4,2017-02-28 19:48:26.374971,,2017-02-28 19:38:19.178818,2017-02-28 19:48:26.373972,"Audrey, Audrey Boteler, Audrey Boteler Baroness of Chichester, Audrey Anderson,  Audrey Boteler,  Audrey Leigh Baroness of Chichester,  Audrey Leigh",,"Audrey Anderson, Audrey Boteler, Audrey Leigh Baroness of Chichester, Audrey Leigh"
10054873,Mary Scrope,Mary,Scrope,420,lady-in-waiting and courtier,Lady,,,BF,1500,AF,1546,female,11,2017-04-17 14:30:18.244773,15628,2017-02-28 00:12:17.336182,2017-04-17 14:30:18.244641,"Lady Mary, Lady Mary Scrope, Lady Scrope, Mary, Mary Scrope, Mary Jerningham,  Mary Kingston",,"Mary Jerningham, Mary Kingston"
10050585,Margaret Pennington,Margaret,Pennington,31,,,,,AF/IN,1442,IN,1552,female,31,2017-02-28 19:36:36.022324,,2016-01-13 21:29:12.214087,2017-02-28 19:36:36.021197,"Margaret, Margaret Pennington",,
10054876,Francis Anderson,Francis,Anderson,4,,,,,BF,1600,BF,1617,male,4,2017-02-28 19:48:26.366196,,2017-02-28 19:48:10.694019,2017-02-28 19:48:26.365157,"Francis, Francis Anderson",,
10002638,John Coldwell,John,Coldwell,2,bishop of Salisbury,,,,IN,1535,IN,1596,male,2,2017-02-28 19:41:37.889346,5844,2015-02-25 00:40:19.411038,2015-07-09 02:13:27.054503,"John Coldwell, John, John Coldwell",,
10001332,"Sir John Boteler of Bramfield, of Brantfield Baron Boteler",John,Boteler,2,NA,Sir,"of Bramfield, of Brantfield",Baron Boteler,CA,1566,IN,1637,male,2,2017-02-28 19:45:21.502725,0,2015-02-25 00:39:56.883097,2017-02-28 19:45:21.501703,"John Boteler, Sir John, Sir John Boteler, Sir John Boteler of Bramfield, of Brantfield, Sir John Boteler Baron Boteler, Sir John of Bramfield, of Brantfield, Sir Boteler, Sir Boteler of Bramfield, of Brantfield, John, John Boteler, John Boteler of Bramfield, of Brantfield, John Boteler Baron Boteler, John of Bramfield, of Brantfield",,
10054861,Anne Boteler,Anne,Boteler,503,,,,"Countess of Newport, Countess of Portland",CA,1610,IN,1669,female,5,2017-04-13 14:48:49.555476,,2016-10-07 04:32:49.773457,2017-04-13 14:48:49.554179,"Anne, Anne Boteler, Anne Boteler Countess of Newport, Countess of Portland, Anne Blount, Lady Anne Blount, Lady Newport, Countess of Newport, Anne Weston, Countess of Portland, Lady Portland",,"Anne Blount, Lady Anne Blount, Lady Newport, Countess of Newport, Anne Weston, Countess of Portland, Lady Portland"
10011093,Robert Sidney,Robert,Sidney,2,courtier and poet,,,,IN,1563,IN,1626,male,2,2017-03-01 06:48:23.285584,25524,2015-02-25 00:42:37.995036,2017-03-01 06:48:22.799872,"Robert Sidney, Robert, Robert Sidney",,
10002021,Edmund Campion,Edmund,Campion,2,Jesuit and martyr,,,,IN,1540,IN,1581,male,2,2017-04-06 21:02:06.295437,4539,2015-02-25 00:40:09.990644,2017-04-06 21:02:06.295335,"Edmund Campion, Edmund, Edmund Campion",,
10010078,Walter Ralegh,Walter,Ralegh,2,"courtier, explorer, and author",Sir,,,IN,1554,IN,1618,male,4,2017-02-28 19:41:38.005034,23040,2015-02-25 00:42:20.658483,2018-01-31 03:25:12.755722,"Walter Ralegh, Walter, Sir Walter Ralegh, Sir Walter",,
10012143,Anne Turner,Anne,Turner,2,accessory to the murder of Sir Thomas Overbury,,,,IN,1576,IN,1615,female,2,2017-03-02 18:09:07.713942,27841,2015-02-25 00:43:01.021643,2015-07-14 03:26:16.881697,"Anne Turner, Anne Norton, Anne, Anne Turner",,
10007966,Queen Henrietta Maria,Henrietta,Maria,2,"queen of England, Scotland, and Ireland, consort of Charles I",Queen,,,IN,1609,IN,1669,female,4,2017-03-08 20:48:59.458900,12947,2015-02-25 00:41:47.166893,2017-03-08 20:48:59.457947,"Henrietta Maria, Henrietta, Queen Henrietta Maria",,
10008048,Andrew Marvell,Andrew,Marvell,2,poet and politician,,,,IN,1621,IN,1678,male,2,2017-03-06 01:08:41.068315,18242,2015-02-25 00:41:48.487316,2015-12-16 13:30:37.226728,"Andrew Marvell, Andrew, Andrew Marvell",,
10008309,John Milton,John,Milton,2,poet and polemicist,,,,IN,1608,IN,1674,male,2,2017-03-06 01:08:41.144248,18800,2015-02-25 00:41:52.612119,2016-09-11 15:15:17.639924,"John Milton, John, John Milton",,
10000849,Francis Beaumont,Francis,Beaumont,2,playwright,,,,IN,1584,IN,1616,male,2,2017-03-08 20:49:23.626463,1871,2015-02-25 00:39:47.809763,2017-03-08 20:49:23.625233,"Francis Beaumont, Francis, Francis Beaumont",,
10054877,Christopher Potter,Christopher,Potter,218,"chaplain to Charles 1, college head and dean of Worcester",,,,IN,1590,IN,1646,male,11,2017-03-08 20:48:32.079716,22607,2017-03-04 15:25:11.261145,2017-03-08 20:48:32.078645,"Christopher, Christopher Potter, Christopher Potter college head and dean of Worcester",,
10011670,King Charles I,Charles,Stuart,2,"king of England, Scotland, and Ireland",King,I,,IN,1600,IN,1649,male,4,2017-03-08 20:48:32.721334,5143,2015-02-25 00:42:49.876203,2017-03-08 20:48:32.719992,"King Charles, Charles I, King Charles, King Charles Stuart, King Charles Stuart I, King Charles I, King Stuart, King Stuart I, Charles, Charles Stuart, Charles Stuart I, Charles I",,
10009625,Maximilian Petty,Maximilian,Petty,2,Leveller,,,,IN,1617,CA,1661,male,2,2017-03-08 20:50:16.166645,37848,2015-02-25 00:42:13.333873,2017-03-08 20:50:16.165655,"Maximilian Petty, Maximilian Pettus, Maximilian, Maximilian Petty",,
10054878,Nicholas Owen,Nicholas,Owen,96,"Brother Jesuit in England; helped John Gerard, SJ, escape from the Tower.",Br.,S.J.,,CA,1562,IN,1606,male,96,2017-04-13 14:02:20.811900,,2017-04-06 20:43:05.745900,2017-04-13 14:02:20.811446,"Br. Nicholas, Br. Nicholas Owen, Br. Nicholas Owen S.J., Br. Nicholas S.J., Br. Owen, Br. Owen S.J., Nicholas, Nicholas Owen, Nicholas Owen S.J., Nicholas S.J., Nicholas Owens, Little John",,Nicholas Owens
10003274,Thomas Darbyshire,Thomas,Darbyshire,2,Jesuit,,,,IN,1518,IN,1604,male,2,2017-04-06 21:31:58.423651,7142,2015-02-25 00:40:29.325440,2017-04-06 21:31:58.423481,"Thomas Darbyshire, Thomas, Thomas Darbyshire",,
10000444,John Aylmer,John,Aylmer,2,bishop of London,,,,IN,1520,IN,1594,male,2,2017-04-06 21:51:51.944403,935,2015-02-25 00:39:41.783168,2017-04-06 21:51:51.943946,"John Aylmer, John, John Aylmer",,
10006113,William Holt,William,Holt,2,Jesuit,,,,IN,1545,IN,1599,male,2,2017-04-06 21:53:50.025148,13615,2015-02-25 00:41:18.286529,2017-04-06 21:53:50.024475,"William Holt, William, William Holt",,
10006611,Sir Henry Jerningham,Henry,Jerningham,2,courtier and administrator,Sir,,,IN,1509,IN,1572,male,2,2017-04-17 14:30:18.250556,14785,2015-02-25 00:41:26.403630,2017-04-17 14:30:18.250442,"Sir Henry Jerningham, Sir Henry Jernegan, Sir Henry, Sir Henry Jerningham, Sir Jerningham, Henry, Henry Jerningham",,
10009111,Edward Oldcorne,Edward,Oldcorne,2,Jesuit,,,,IN,1561,IN,1606,male,2,2017-04-06 21:57:43.820854,20675,2015-02-25 00:42:05.282032,2017-04-06 21:57:43.820716,"Edward Oldcorne, Edward, Edward Oldcorne",,
10011325,Robert Southwell,Robert,Southwell,2,"writer, Jesuit, and martyr",,,,IN,1561,IN,1595,male,2,2017-04-06 22:18:15.025464,26064,2015-02-25 00:42:42.147498,2017-04-06 22:18:15.025347,"Robert Southwell, Robert, Robert Southwell",,
10004783,John Gerard,John,Gerard,2,Jesuit,,,,IN,1564,IN,1637,male,2,2017-04-06 23:18:27.554837,10556,2015-02-25 00:40:52.435944,2017-04-06 23:18:27.554276,"John Gerard, John, John Gerard",,
10054879,Margaret Yelverton,Margaret,Yelverton,96,wife to Christopher Yatesby,,,,IN,1544,IN,1611,female,96,2017-04-06 22:31:24.481007,,2017-04-06 22:26:08.594322,2017-04-06 22:31:24.479954,"Margaret, Margaret Yelverton, Margaret Catesby",,Margaret Catesby
10054881,Jane Lumner,Jane,Yelverton,96,"Convert of John Gerard, SJ",,,,AF,1537,AF/IN,1615,female,96,2017-04-06 23:31:31.376634,,2017-04-06 23:00:06.435088,2017-04-06 23:31:31.376216,"Jane, Jane Yelverton, Jane Lumner",,Jane Lumner
10054882,Grisell Wodehouse,Grisell,Yelverton,96,"Convert of John Gerard, SJ",,,,AF,1537,AF,1601,female,96,2017-04-06 23:32:52.737086,,2017-04-06 23:16:39.294072,2017-04-06 23:32:52.736252,"Grisell, Grisell Yelverton, Grisell Wodehouse,  Grisell Woodhouse,  Grisell Yelverton,  Chrysold Wodehouse,  Chrysold Woodhouse,  Chrysold Yelverton",,"Grisell Wodehouse, Grisell Woodhouse, Grisell Yelverton, Chrysold Wodehouse, Chrysold Woodhouse, Chrysold Yelverton"
10013231,Sir Christopher Yelverton,Christopher,Yelverton,2,judge and speaker of the House of Commons,Sir,,,IN,1536,IN,1612,male,2,2017-04-06 23:32:52.750500,30213,2015-02-25 00:43:19.314803,2017-04-06 23:32:52.750181,"Christopher Yelverton, Sir Christopher, Sir Christopher Yelverton, Sir Yelverton, Christopher, Christopher Yelverton",,
10054880,Edward Yelverton,Edward,Yelverton,96,Catholic who hosted John Gerard for 6-8 months c.1588-89,,,,AF,1537,AF,1589,male,96,2017-04-06 23:29:15.823706,,2017-04-06 22:53:37.849162,2017-04-06 23:29:15.823243,"Edward, Edward Yelverton",,
10005852,William Herle,William,Herle,2,political agent,,,,AF,1478,IN,1588,male,2,2017-04-11 23:14:21.385331,37536,2015-02-25 00:41:14.031359,2017-04-11 23:14:21.385220,"William Herle, William, William Herle",,
10010270,Elizabeth Richardson,Elizabeth,Richardson,2,writer,,,,IN,1576,IN,1651,female,2,2017-05-18 02:59:19.006083,46468,2015-02-25 00:42:24.042986,2017-05-18 02:59:19.005983,"Elizabeth Richardson, Elizabeth Beaumont, Elizabeth Ashburnham, Elizabeth, Elizabeth Richardson",,
10006959,Sir William Kingston,William,Kingston,2,courtier and administrator,Sir,,,IN,1476,IN,1540,male,2,2017-04-13 14:02:47.133779,15628,2015-02-25 00:41:31.793833,2017-04-13 14:02:47.133433,"William Kingston, Sir William, Sir William Kingston, Sir Kingston, William, William Kingston",,
