first_name,birth_year_type,odnb_id,historical_significance,created_by,updated_at,aliases,id,search_names_all,last_name,title,death_year_type,citation,approved_by,gender,suffix,display_name,prefix,approved_on,death_year,created_at,birth_year
John,IN,148,physician and benefactor,2,2015-07-08 03:58:35.108072,,10000062,"John Addenbrooke, John, John Addenbrooke",Addenbrooke,,IN,,2,male,,John Addenbrooke,,2015-07-08 03:58:35.108267,1719,2015-02-25 00:39:36.203120,1681
Edward,IN,212,member of parliament,2,2015-07-08 03:59:59.437970,,10000077,"Edward Aglionby, Edward, Edward Aglionby",Aglionby,,CA,,2,male,,Edward Aglionby,,2015-07-08 03:59:59.438131,1591,2015-02-25 00:39:36.431697,1520
John,IN,6372,bishop of Durham,2,2015-07-09 03:46:37.825640,,10002863,"John Cosin, John, John Cosin",Cosin,,IN,,2,male,,John Cosin,,2015-07-09 03:46:37.825816,1672,2015-02-25 00:40:22.786467,1595
Thomas,AF,295,merchant,2,2015-03-11 22:32:31.874537,,10000098,"Thomas Alcock, Thomas, Thomas Alcock",Alcock,,IN,,2,male,,Thomas Alcock,,2015-02-25 00:39:36.778606,1564,2015-02-25 00:39:36.781337,1454
Joseph van,IN,28089,drapery painter and painter of genre and conversation pieces,2,2015-03-11 22:32:31.629622,,10000091,"Joseph van Aken, Joseph van, Joseph van Aken",Aken,,IN,,2,male,,Joseph van Aken,,2015-02-25 00:39:36.682633,1749,2015-02-25 00:39:36.685455,1699
Richard,IN,8472,politician,2,2015-07-09 07:38:33.816737,,10003873,"Richard Edgcumbe, Richard, Richard Edgcumbe",Edgcumbe,,IN,,2,male,,Richard Edgcumbe,,2015-07-09 07:38:33.816954,1758,2015-02-25 00:40:38.574177,1680
Henry,IN,280,clergyman and ejected minister,2,2015-07-08 04:01:10.818621,,10000096,"Henry Albin, Henry, Henry Albin",Albin,,IN,,2,male,,Henry Albin,,2015-07-08 04:01:10.818872,1696,2015-02-25 00:39:36.752644,1624
Robert,IN,8160,courtier and magnate,2,2016-01-23 17:33:10.440171,,10003747,"Robert Dudley, Robert, Robert Dudley",Dudley,,IN,,2,male,,Robert Dudley,,2016-01-23 17:33:10.440308,1588,2015-02-25 00:40:36.805363,1532
Mir,IN,63554,,2,2015-03-11 22:34:52.341174,,10006528,"Mir Jafar Ali Khan, Mir, Mir Jafar Ali Khan",Jafar Ali Khan,,IN,,2,male,,Mir Jafar Ali Khan,,2015-02-25 00:41:25.107098,1765,2015-02-25 00:41:25.109811,1691
William,IN,6826,Church of England clergyman,2,2015-07-09 04:34:39.715148,,10003093,"William Crowe, William, William Crowe",Crowe,,IN,,2,male,,William Crowe,,2015-07-09 04:34:39.715936,1743,2015-02-25 00:40:26.308083,1691
James,AF,15679,Church of Scotland minister and historian,2,2015-07-14 04:05:52.793588,,10006984,"James Kirkton, James, James Kirkton",Kirkton,,IN,,2,male,,James Kirkton,,2015-07-14 04:05:52.793724,1699,2015-02-25 00:41:32.259382,1589
Henry,CA,69477,,2,2015-03-11 22:34:39.904975,,10005978,"Henry Hills junior, Henry, Henry Hills junior",Hills junior,,IN,,2,male,,Henry Hills junior,,2015-02-25 00:41:16.100937,1710,2015-02-25 00:41:16.103597,1654
Thomas,IN,406,Arctic explorer,2,2015-07-08 04:06:52.539504,,10000153,"Thomas Allison, Thomas, Thomas Allison",Allison,,BF/IN,,2,male,,Thomas Allison,,2015-07-08 04:06:52.539672,1706,2015-02-25 00:39:37.594305,1647
Colley,IN,5416,"actor, writer, and theatre manager",2,2015-07-09 01:48:48.030146,,10002456,"Colley Cibber, Colley, Colley Cibber",Cibber,,IN,,2,male,,Colley Cibber,,2015-07-09 01:48:48.030299,1757,2015-02-25 00:40:16.531068,1671
Thomas,IN,95060,clergyman and benefactor,2,2015-07-08 04:06:25.060228,,10000148,"Thomas Alleyne, Thomas Allyn, Thomas, Thomas Alleyne",Alleyne,,IN,,2,male,,Thomas Alleyne,,2015-07-08 04:06:25.060394,1558,2015-02-25 00:39:37.528493,1488
William,IN,368,clergyman and ejected minister,2,2015-07-08 04:03:18.334183,,10000125,"William Alleine, William, William Alleine",Alleine,,IN,,2,male,,William Alleine,,2015-07-08 04:03:18.334408,1677,2015-02-25 00:39:37.197156,1613
John,AF,394,Church of England clergyman and literary editor,2,2015-07-08 04:05:38.620628,,10000143,"John Allenson, John, John Allenson",Allenson,,IN,,2,male,,John Allenson,,2015-07-08 04:05:38.620831,1619,2015-02-25 00:39:37.464122,1509
Robert,AF,29785,Church of England clergyman and poet,2,2015-07-11 15:22:39.205108,,10013027,"Robert Wisdom, Robert, Robert Wisdom",Wisdom,,IN,,2,male,,Robert Wisdom,,2015-07-11 15:22:39.205287,1568,2015-02-25 00:43:16.272605,1458
Jonas,IN,72310,businessman,2,2015-07-08 04:07:50.175155,,10000164,"Jonas Alstromer, Jonas, Jonas Alstromer",Alstromer,,IN,,2,male,,Jonas Alstromer,,2015-07-08 04:07:50.175322,1761,2015-02-25 00:39:37.744027,1685
Robert,IN,68266,Church of England clergyman and religious writer,2,2015-07-08 04:04:01.416088,,10000137,"Robert Allen, Robert, Robert Allen",Allen,,IN,,2,male,,Robert Allen,,2015-07-08 04:04:01.416282,1612,2015-02-25 00:39:37.368374,1582
Richard,CA,54117,satirist,2,2015-07-08 04:08:29.569387,,10000174,"Richard Ames, Richard, Richard Ames",Ames,,IN,,2,male,,Richard Ames,,2015-07-08 04:08:29.569600,1692,2015-02-25 00:39:37.882612,1664
William,IN,25381,Church of England clergyman and religious controversialist,2,2015-07-14 04:45:31.174213,,10011035,"William Sherlock, William, William Sherlock",Sherlock,,IN,,2,male,,William Sherlock,,2015-07-14 04:45:31.174481,1707,2015-02-25 00:42:36.747269,1639
Thomas,IN,10237,Church of Ireland archbishop of Cashel,2,2015-09-24 20:19:42.822269,,10004612,"Thomas Fuller, Thomas, Thomas Fuller",Fuller,,IN,,2,male,,Thomas Fuller,,2015-09-24 20:19:42.822447,1667,2015-02-25 00:40:49.585873,1593
Alice,CA,,,31,2016-01-13 21:29:17.758277,,10051109,"Alice, Alice Sutton",Sutton,,IN,,31,female,,Alice Sutton,,,1554,2016-01-13 21:29:17.758277,1483
John,IN,76461,,2,2015-03-11 22:33:44.398215,,10003406,"John Delaval, Sir John, Sir John Delaval, Sir Delaval, John, John Delaval",Delaval,,IN,,2,male,,Sir John Delaval,Sir,2015-02-25 00:40:31.262309,1562,2015-02-25 00:40:31.265768,1498
Elizabeth,BF,68018,translator,2,2015-07-08 04:18:03.664510,,10000291,"Elizabeth Arnold, Elizabeth, Elizabeth Arnold",Arnold,,AF,,2,female,,Elizabeth Arnold,,2015-07-08 04:18:03.664727,1616,2015-02-25 00:39:39.610677,1616
Sylvester,BF,0,NA,2,2015-07-08 03:57:51.326376,,10000052,"Sylvester Adams, Sylvester, Sylvester Adams",Adams,,AF,,2,male,,Sylvester Adams,,2015-07-08 03:57:51.326692,1638,2015-02-25 00:39:36.063924,1620
Jane,AF/IN,39675,writer on women,2,2016-01-22 22:55:15.065274,,10000219,"Jane Anger, Jane, Jane Anger",Anger,,AF,,4,female,,Jane Anger,,2016-01-22 22:55:15.065856,1588,2015-02-25 00:39:38.585499,1488
Julian,CA,20367,printer and bookseller,2,2015-07-10 16:57:01.914578,,10008936,"Julian Notary, Julian, Julian Notary",Notary,,AF/IN,,2,male,,Julian Notary,,2015-07-10 16:57:01.914703,1523,2015-02-25 00:42:02.654638,1455
George,IN,64363,Church of Scotland minister and author,2,2015-07-08 04:09:41.618790,,10000189,"George Anderson, George, George Anderson",Anderson,,IN,,2,male,,George Anderson,,2015-07-08 04:09:41.618952,1756,2015-02-25 00:39:38.165133,1676
William,IN,554,dean of Edinburgh,2,2015-07-08 04:12:48.355000,,10000221,"William Annand, William, William Annand",Annand,,IN,,2,male,,William Annand,,2015-07-08 04:12:48.355253,1689,2015-02-25 00:39:38.617396,1633
Pieter,IN,542,painter,2,2015-07-08 04:12:31.621387,,10000217,"Pieter Angellis, Pieter, Pieter Angellis",Angellis,,IN,,2,male,,Pieter Angellis,,2015-07-08 04:12:31.621596,1734,2015-02-25 00:39:38.559437,1685
Isabella,IN,0,courtier,2,2015-07-09 08:43:29.395811,,10004271,"Isabella Finch, Cecilia Isabella Finch, Bell Finch, Lady Isabella, Lady Isabella Finch, Lady Finch, Isabella, Isabella Finch",Finch,,IN,,2,female,,Lady Isabella Finch,Lady,2015-07-09 08:43:29.395976,1771,2015-02-25 00:40:44.447026,1700
Lionel,IN,492,Dominican friar,2,2015-03-11 22:32:34.274106,,10000194,"Lionel Anderson, Lionel Munson, Lionel, Lionel Anderson",Anderson,,IN,,2,male,,Lionel Anderson,,2015-02-25 00:39:38.228732,1710,2015-02-25 00:39:38.231329,1633
William,IN,6825,bibliographer and schoolmaster,2,2015-07-09 04:34:38.966680,,10003092,"William Crowe, William, William Crowe",Crowe,,IN,,2,male,,William Crowe,,2015-07-09 04:34:38.966913,1675,2015-02-25 00:40:26.292808,1616
Edmund,IN,22389,law reporter,2,2015-11-25 15:58:27.175474,,10009769,"Edmund Plowden, Edmund, Edmund Plowden",Plowden,,IN,,2,male,,Edmund Plowden,,2015-11-25 15:58:27.175750,1585,2015-02-25 00:42:15.659513,1518
Donald,AF,4492,abbot of Coupar Angus,2,2015-07-08 23:49:16.886866,,10001995,"Donald Campbell, Donald, Donald Campbell",Campbell,,IN,,2,male,,Donald Campbell,,2015-07-08 23:49:16.887079,1562,2015-02-25 00:40:09.542905,1452
Rhys,IN,72794,,2,2015-03-11 22:32:35.333418,,10000241,"Rhys ap Gruffudd, Rhys, Rhys ap Gruffudd",ap Gruffudd,,IN,,2,male,,Rhys ap Gruffudd,,2015-02-25 00:39:38.878885,1531,2015-02-25 00:39:38.881539,1508
Llywelyn,IN,16598,poet,2,2015-03-11 22:32:35.374794,,10000244,"Llywelyn ap Rhisiart, Llywelyn, Llywelyn ap Rhisiart",ap Rhisiart,,IN,,2,male,,Llywelyn ap Rhisiart,,2015-02-25 00:39:38.918738,1565,2015-02-25 00:39:38.921406,1520
Gruffudd,IN,77018,,2,2015-03-11 22:32:35.387140,,10000245,"Gruffudd ap Rhys, Sir Gruffudd, Sir Gruffudd ap Rhys, Sir ap Rhys, Gruffudd, Gruffudd ap Rhys",ap Rhys,,IN,,2,male,,Sir Gruffudd ap Rhys,Sir,2015-02-25 00:39:38.931538,1521,2015-02-25 00:39:38.934216,1479
Rhys,IN,23467,soldier and landowner,2,2015-03-11 22:32:35.413114,,10000247,"Rhys ap Thomas, Sir Rhys, Sir Rhys ap Thomas, Sir ap Thomas, Rhys, Rhys ap Thomas",ap Thomas,,IN,,2,male,,Sir Rhys ap Thomas,Sir,2015-02-25 00:39:38.962683,1525,2015-02-25 00:39:38.965366,1448
Jenny,BF,10488,supposed religious activist,2,2015-07-14 04:05:56.457445,,10004751,"Jenny Geddes, Jenny, Jenny Geddes",Geddes,,AF,,2,female,,Jenny Geddes,,2015-07-14 04:05:56.457603,1637,2015-02-25 00:40:51.919333,1637
Timothy,IN,20376,agricultural and religious writer,2,2015-07-10 16:57:03.881236,,10008938,"Timothy Nourse, Timothy, Timothy Nourse",Nourse,,IN,,2,male,,Timothy Nourse,,2015-07-10 16:57:03.881391,1699,2015-02-25 00:42:02.681073,1636
Peter,IN,39742,gardener and writer,2,2015-07-08 04:15:17.886374,,10000253,"Peter Aram, Peter, Peter Aram",Aram,,IN,,2,male,,Peter Aram,,2015-07-08 04:15:17.886541,1735,2015-02-25 00:39:39.044537,1667
John,IN,615,colonial governor,2,2015-07-08 04:15:53.338068,,10000259,"John Archdale, John, John Archdale",Archdale,,IN,,2,male,,John Archdale,,2015-07-08 04:15:53.338231,1717,2015-02-25 00:39:39.122571,1642
Richard,IN,617,Jesuit,2,2015-07-08 04:15:54.200529,,10000260,"Richard Archdekin, Richard, Richard Archdekin",Archdekin,,IN,,2,male,,Richard Archdekin,,2015-07-08 04:15:54.200703,1693,2015-02-25 00:39:39.138366,1619
Dorothy,IN,68019,author and Benedictine nun,2,2015-07-08 04:18:59.274891,,10000307,"Dorothy Arundell, Dorothy, Dorothy Arundell",Arundell,,IN,,2,female,,Dorothy Arundell,,2015-07-08 04:18:59.275049,1613,2015-02-25 00:39:39.814838,1559
William,IN,5859,army officer and landowner in Ulster,2,2015-07-09 02:14:49.111329,,10002646,"William Cole, Sir William, Sir William Cole, Sir Cole, William, William Cole",Cole,,IN,,2,male,,Sir William Cole,Sir,2015-07-09 02:14:49.111495,1653,2015-02-25 00:40:19.581175,1576
William,IN,666,border reiver,2,2015-03-11 22:32:36.267186,,10000286,"William Armstrong of Kinmont, William, William Armstrong, William Armstrong of Kinmont, William of Kinmont",Armstrong,,IN,,2,male,of Kinmont,William Armstrong of Kinmont,,2015-02-25 00:39:39.543429,1603,2015-02-25 00:39:39.546132,1569
