id,name,description,start_date_type,start_year,end_date_type,end_year,created_by,created_at,approved_by,approved_on,citation
106,Earl of Essex's army,The parliamentarian army commanded by the third Earl of Essex in the first English Civil War,IN,1642,IN,1645,419,2016-02-04 09:51:09.528791,5,2016-04-19 13:47:45.034055,
99,Privy Councillors,Members of formal body of advisors to the sovereign,CA,1500,CA,1700,5,2015-10-13 10:22:15.992735,5,2015-10-13 10:22:15.993109,
100,Members of the Royal Household,Members of the Royal Household,CA,1500,CA,1700,5,2015-10-13 10:22:55.115036,5,2015-10-13 10:22:55.115564,
101,Dublin Philosophical Society,"A society ""agreeable to the design of the Royal Society in London"" which grew out of a group headed by William Molyneux who were collecting materials for the projected Pitt atlas of the British Isles. Formed in January 1684, hiatus 1688, revived 1694 with meetings ceasing by 1698. The Society was refounded by Samuel Molyneux in 1707, but lasted for only one year. ",IN,1684,IN,1708,68,2015-10-13 19:07:15.268278,5,2015-10-27 19:24:48.870100,
93,Jesuits,members of the Society of Jesus,CA,1500,CA,1700,5,2015-09-18 15:36:24.536881,5,2017-04-13 14:02:20.804928,
98,The King's Musik,"Members of the British Monarch's Music, musicians employed at the English Court. (Members of court chapels were organized separately, though some members of the King's Musik were also  chapel members.)",BF,1469,AF,1901,60,2015-10-07 03:29:27.081402,4,2015-10-27 19:23:09.540613,
102,Eton College,one-time students of Eton College,CA,1500,CA,1700,5,2015-11-30 22:21:19.600795,5,2015-11-30 22:22:46.010607,
104,Midwives,Named midwives,CA,1500,CA,1700,399,2016-01-23 18:57:29.263202,408,2016-01-23 19:35:58.808170,
103,Elizabethan Playwrights,Elizabethan playwrights,IN,1558,IN,1603,263,2015-12-20 07:57:30.873314,4,2015-12-20 16:13:27.860604,
108,Trustees of Blackfriars Playhouse,Legal trustees of the (Second) Blackfriars Theatre,CA,1596,IN,1655,5,2016-09-11 14:40:24.300528,5,2016-09-11 14:42:32.799065,
109,Recipe Contributors for Sir Kenelm Digby's Closet Opened,Named contributors of recipes to the cookbook Sir Kenelm Digby's Closet Opened 1669. ,BF,1669,IN,1669,503,2016-10-07 01:43:41.756562,5,2017-01-09 20:15:41.616682,
2,Participants in the Field of Cloth of Gold,Participants in the Field of Cloth of Gold,IN,1520,IN,1520,3,2015-02-25 00:47:55.475620,4,2017-02-28 14:36:36 -0500,
31,Putney debaters,Putney debaters,IN,1647,IN,1647,3,2015-02-25 00:47:55.882088,4,2017-03-08 15:50:16 -0500,
111,Calvinists,A major branch of Protestantism that follows the theological tradition and forms of Christian practice of John Calvin ,CA,1519,AF,1700,563,2017-05-08 15:58:37.561924,11,2017-05-10 14:04:08.269327,
105,Sidney Circle,Family members or close acquaintances of the extended Sidney circle,CA,1580,AF,1640,404,2016-01-23 19:26:17.029637,5,2017-09-20 16:22:29.856714,
65,Royal Society,society for the encouragement of philosophical studies,IN,1662,AF,1800,3,2015-02-25 00:47:56.425179,3,2017-06-15 18:03:34.876975,
19,Patrons of the Mermaid Tavern,"Patrons of the Mermaid tavern;  a broader category than the separate group, ""Fraternity of Sireniacal gentlemen""",CA,1611,CA,1611,3,2015-02-25 00:47:55.704444,5,2017-03-08 15:49:23 -0500,
113,Opera of the Nobility,"The Opera of the Nobility was an opera company set up and funded in 1733 by a group of nobles (under Frederick, Prince of Wales) opposed to George II of England, in order to rival the Royal Academy of Music company under Handel, who was backed by George II and his queen). ",AF,1700,IN,1737,563,2017-05-26 17:06:51.231699,563,2017-06-19 20:29:39.040840,
114,Postmasters,Administrators placed in charge of the Royal Post or associated systems,AF/IN,1510,AF,1700,576,2017-07-20 17:25:43.484073,5,2017-10-02 18:24:00.160833,
62,Tories,Tories,CA,1678,AF,1800,3,2015-02-25 00:47:56.383446,4,2017-06-19 20:28:50.195256,
61,Whigs,Whigs,CA,1678,AF,1800,3,2015-02-25 00:47:56.370385,4,2017-06-19 21:14:56.496752,
112,Royal Academy of Music I and II,"The Royal Academy of Music was a company founded in February 1719, during George Frideric Handel's residence at Cannons, by a group of aristocrats to secure themselves a constant supply of baroque (Italian) opera. The first Academy lasted until 1728, but Handel immediately started a second Academy. ",AF,1700,IN,1734,563,2017-05-26 17:00:44.292349,563,2017-07-06 15:32:46.563751,
