display_name,prefix,first_name,last_name,suffix,title,all_search_names,gender,historical_significance,Birth Year Type,ext_birth_year,Alternate Birth Year,Death Year Type,ext_death_year,Alternate Death Year,Group List,justification
Isaac Oliver,,Isaac,Oliver,,,"Isaac Oliver, Isaac, Isaac Oliver",male,miniature painter,IN,1565,1565,IN,1617,1617,,
John Owen,,John,Owen,,,"John Owen, John, John Owen",male,theologian and Independent minister,IN,1616,1616,IN,1683,1683,,
Henry Oxinden,,Henry,Oxinden,,,"Henry Oxinden, Henry Oxenden, Henry, Henry Oxinden",male,gentleman and letter-writer,IN,1609,1609,IN,1670,1670,,
John Pell,,John,Pell,,,"John Pell, John, John Pell",male,mathematician,IN,1611,1611,IN,1685,1685,,
Henry Percy,,Henry,Percy,,,"Henry Percy, Henry, Henry Percy",male,nobleman,IN,1564,1564,IN,1632,1632,,
Robert Recorde,,Robert,Recorde,,,"Robert Recorde, Robert, Robert Recorde",male,mathematician,IN,1512,1512,IN,1558,1558,,
Sir Thomas Roe,Sir,Thomas,Roe,,,"Thomas Roe, Sir Thomas, Sir Thomas Roe, Sir Roe, Thomas, Thomas Roe",male,diplomat,IN,1581,1581,IN,1644,1644,,
Charles de Schomberg,,Charles,de Schomberg,,,"Charles de Schomberg, Charles von Schomberg, Charles, Charles de Schomberg",male,army officer,IN,1645,1645,IN,1693,1693,,
John Selden,,John,Selden,,,"John Selden, John, John Selden",male,lawyer and historical and linguistic scholar,IN,1584,1584,IN,1654,1654,,
Sir Philip Sidney,Sir,Philip,Sidney,,,"Philip Sidney, Sir Philip, Sir Philip Sidney, Sir Sidney, Philip, Philip Sidney",male,author and courtier,IN,1554,1554,IN,1586,1586,,
Robert Sidney,,Robert,Sidney,,,"Robert Sidney, Robert, Robert Sidney",male,courtier and poet,IN,1563,1563,IN,1626,1626,,
John Stow,,John,Stow,,,"John Stow, John Stowe, John, John Stow",male,historian,IN,1524,1525,IN,1605,1605,,
Robert Talbot,,Robert,Talbot,,,"Robert Talbot, Robert, Robert Talbot",male,antiquary,IN,1505,1506,IN,1558,1558,,
Christopher Wase,,Christopher,Wase,,,Christopher Wase,male,schoolmaster and classical scholar,IN,1627,,IN,1690,,,
Thomas Wilson,,Thomas,Wilson,,,"Thomas Wilson, Thomas, Thomas Wilson",male,humanist and administrator,IN,1523,1524,IN,1581,1581,,
Sir Thomas Wilson,Sir,Thomas,Wilson,,,"Thomas Wilson, Sir Thomas, Sir Thomas Wilson, Sir Wilson, Thomas, Thomas Wilson",male,record keeper and author,AF,1519,NA,IN,1629,1629,,
William Cecil,,William,Cecil,,,"William Cecil, William, William Cecil",male,politician,IN,1591,1591,IN,1668,1668,,
Mildred Cecil,,Mildred,Cecil,,,"Mildred Cecil, Mildred Cooke, Mildred, Mildred Cecil",female,noblewoman and scholar,IN,1526,1526,IN,1589,1589,,
Frances Howard,,Frances,Howard,,,"Frances Howard, Frances Devereux, Frances Carr, Frances, Frances Howard",female,courtier,IN,1590,1590,IN,1632,1632,,
Sir Thomas Chamberlain,Sir,Thomas,Chamberlain,,,"Thomas Chamberlain, Sir Thomas, Sir Thomas Chamberlain, Sir Chamberlain, Thomas, Thomas Chamberlain",male,diplomat and financial agent,IN,1504,1504,IN,1580,1580,,
Mervin Touchet,,Mervin,Touchet,,,"Mervin Touchet, Mervin, Mervin Touchet",male,convicted rapist and sodomite,IN,1593,1593,IN,1631,1631,,
Lady Dorothy Stafford,Lady,Dorothy,Stafford,,,"Dorothy Stafford, Dorothy Devereux, Dorothy Shirley, Lady Dorothy, Lady Dorothy Stafford, Lady Stafford, Dorothy, Dorothy Stafford",female,literary patron and poet,IN,1600,1600,IN,1636,1636,,
Anne Hathaway,,Anne,Hathaway,,,"Anne Hathaway, Anne, Anne Hathaway",female,,IN,1555,1556,IN,1623,1623,,
Katherine Cullen,,Katherine,Cullen,,,"Katherine Cullen, Katherine Oxinden",female,,BF,1630,,CA,1698,,,
Thomas Harrison,,Thomas,Harrison,,,Thomas Harrison,male,"Inventor of ""Ark of Studies"" ",IN,1595,,IN,1649,,,
Barbara Apsley,,Barbara,Apsley,,,Barbara Apsley,female,,AF/IN,1615,,AF/IN,1673,,,
Elizabeth Barnham,,Elizabeth,Barnham,,,"Elizabeth Barnham, Elizabeth Touchet",female,"Daughter and coheir of Benedict Barnham, first wife of Mervin Touchet, mother of James Touchet. ",IN,1592,,CA,1623,,,
Claudius Hollyband ,,Claudius,Hollyband,,,Claudius Hollyband,male,"A London Huguenot who taught Latin, French, and Italian. ",BF,1564,,AF,1593,,,
Bridget of York,,Bridget,Plantagenet,of York,,"Bridget of York, Bridget Plantagenet, Bridget Plantagenet of York",female,nun and youngest daughter of Edward IV,IN,1480,,IN,1513,,,
